"Специализация (универсальная, научная, детская, взрослая, специализированная)",Общая площадь (км.м),Площадь читального зала (кв.м),Вместимость (чел.),Объем фонда (единиц хранения),Количество доступных периодических изданий (единиц),Наличие электронного каталога (да/нет),Наличие абонемента (да/нет),"Наличие дополнительных услуг (да/нет, какие-списком)","Возможность проводить мероприятия (да/нет, какие-списком)",Общая площадь (кв.м),Рабочая площадь (кв.м),"Наличие персонала (да/нет, какой - списком) например звукорежиссёра/звукоинженера","Количество залов (сколько, какие), например, тон-зал, контрольная, аппаратная, для вокалиста","Наличие крупногабаритных инструментов (рояль, арфа, контрабас, оргАн)",Характеристики оборудования в студии
some random string,4.511,1.851,70545,15213,2034,True,False,some random string,some random string,711.269,838.54,some random string,some random string,some random string,some random string
some random string,2776.302,20.498,40778,88498,14027,False,False,some random string,some random string,9369.838,2875.092,some random string,some random string,some random string,some random string
some random string,286.814,40.374,93183,41841,98854,False,False,some random string,some random string,4.3,488.539,some random string,some random string,some random string,some random string
some random string,73.636,928.248,67099,87837,6269,True,False,some random string,some random string,3.279,46.522,some random string,some random string,some random string,some random string
some random string,80.051,892.85,467,93015,64795,False,False,some random string,some random string,5.42,58.786,some random string,some random string,some random string,some random string
some random string,80.124,7.171,13231,18027,70143,False,False,some random string,some random string,4485.453,887.6,some random string,some random string,some random string,some random string
some random string,6143.105,58.193,82695,96271,18020,False,True,some random string,some random string,28.119,37.379,some random string,some random string,some random string,some random string
some random string,61.926,8.728,3733,11821,34506,False,True,some random string,some random string,9191.944,582.308,some random string,some random string,some random string,some random string
some random string,65.592,7608.436,1606,78876,11803,False,True,some random string,some random string,34.77,113.225,some random string,some random string,some random string,some random string
some random string,8.188,191.403,97080,29902,47111,False,True,some random string,some random string,42.621,9.031,some random string,some random string,some random string,some random string
some random string,711.515,2987.138,97432,44534,48209,False,True,some random string,some random string,712.577,5047.792,some random string,some random string,some random string,some random string
some random string,70.591,6259.712,95798,61169,72427,False,True,some random string,some random string,439.596,5.595,some random string,some random string,some random string,some random string
some random string,47.226,207.643,38185,21253,52300,False,True,some random string,some random string,45.254,61.18,some random string,some random string,some random string,some random string
some random string,987.615,3.448,23458,77702,31445,False,False,some random string,some random string,8.087,89.684,some random string,some random string,some random string,some random string
some random string,61.188,992.766,60101,53297,5787,True,False,some random string,some random string,168.324,10.044,some random string,some random string,some random string,some random string
some random string,441.357,9067.314,64010,73287,80075,True,False,some random string,some random string,15.415,136.021,some random string,some random string,some random string,some random string
some random string,66.774,8970.211,37964,916,85471,False,True,some random string,some random string,1.746,200.93,some random string,some random string,some random string,some random string
some random string,7.153,48.85,60215,4208,13636,False,False,some random string,some random string,4459.479,8.029,some random string,some random string,some random string,some random string
some random string,14.757,9.015,49726,14984,74812,True,False,some random string,some random string,7487.402,7.072,some random string,some random string,some random string,some random string
some random string,9242.084,260.79,25863,69667,95111,False,False,some random string,some random string,3.194,350.452,some random string,some random string,some random string,some random string
some random string,73.717,42.17,93025,51842,71506,False,False,some random string,some random string,4665.063,3.908,some random string,some random string,some random string,some random string
some random string,6215.971,428.553,80349,22249,14762,False,True,some random string,some random string,7686.539,419.586,some random string,some random string,some random string,some random string
some random string,83.74,242.188,81720,28203,19582,False,False,some random string,some random string,4.126,18.871,some random string,some random string,some random string,some random string
some random string,9.072,0.548,6325,82420,25671,False,True,some random string,some random string,4.966,499.963,some random string,some random string,some random string,some random string
some random string,5552.804,223.444,83415,29514,62153,False,True,some random string,some random string,22.196,5.601,some random string,some random string,some random string,some random string
